Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
1341,Lukas Kübler,GER,1,Freiburg,Bundesliga,30,1992,9,9,778,8.6,2,0.58,0.35,60.0,0.4,0.67,11.3,0.0,0.0,0.0,31.4,45.2,69.4,555.3,152.9,13.6,16.7,81.3,12.7,17.7,71.7,3.84,7.91,48.5,0.0,0.23,3.14,0.23,0.0,2.44,45.2,38.6,6.28,0.58,0.0,0.23,1.63,5.7,0.0,0.0,0.0,0.0,31.4,0.35,0.7,0.58,0.47,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,1.4,1.4,0.35,0.47,1.4,1.86,75.0,0.47,1.4,0.58,0.81,1.51,3.72,2.56,0.0,56.3,4.3,18.0,27.2,11.4,1.51,56.3,0.7,0.47,66.7,0.23,33.3,23.5,103.0,44.3,0.47,0.58,0.0,1.16,0.23,30.0,3.95,0.0,0.0,0.0,1.16,0.47,0.0,1.63,1.4,0.0,0.12,0.0,5.7,1.28,0.81,61.1
2218,Gianluca Scamacca,ITA,3,West Ham,Premier League,24,1999,16,11,926,10.3,3,2.91,0.97,33.3,0.1,0.3,18.7,0.1,0.0,0.0,11.5,17.2,66.7,195.5,36.7,6.12,8.25,74.1,3.01,5.05,59.6,1.65,2.04,81.0,0.0,1.26,1.36,0.49,0.1,1.65,17.2,16.8,0.29,0.0,0.0,0.78,0.1,0.0,0.0,0.0,0.0,0.0,11.5,0.1,0.68,2.33,1.94,0.0,0.1,0.19,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.97,0.49,0.1,0.29,0.58,0.19,0.19,100.0,0.0,0.29,0.0,0.29,0.39,1.36,0.49,0.0,26.5,0.49,1.26,13.1,12.4,3.69,26.5,1.36,0.58,42.9,0.58,42.9,13.9,64.1,27.4,1.26,0.68,0.29,2.23,1.75,19.7,4.66,0.29,0.0,0.0,1.55,0.97,0.58,0.1,0.49,0.0,0.0,0.0,2.23,1.65,2.04,44.7
369,Adam Buksa,POL,3,Lens,Ligue 1,26,1996,4,0,63,0.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,22.9,50.0,185.7,21.4,4.29,8.57,50.0,5.71,8.57,66.7,0.0,1.43,0.0,0.0,0.0,1.43,0.0,0.0,1.43,22.9,22.9,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,37.1,0.0,0.0,21.4,15.7,7.14,37.1,0.0,0.0,0.0,0.0,0.0,30.0,115.7,15.7,0.0,0.0,0.0,10.0,2.86,32.9,10.0,0.0,0.0,0.0,4.29,1.43,0.0,1.43,0.0,0.0,0.0,0.0,2.86,1.43,2.86,33.3
536,Lewis Cook,ENG,2,Bournemouth,Premier League,26,1997,19,17,1486,16.5,0,0.3,0.0,0.0,0.0,0.0,28.0,0.06,0.0,0.0,30.8,39.2,78.8,518.1,161.8,14.8,16.8,88.1,12.5,14.6,85.9,2.67,4.79,55.7,0.12,1.27,2.97,0.67,0.48,3.27,39.2,36.1,2.91,1.82,0.06,0.18,2.18,0.0,0.61,0.61,0.0,0.0,30.8,0.18,1.03,1.94,1.27,0.42,0.0,0.0,0.06,0.18,0.24,0.12,0.06,0.0,0.0,0.0,0.06,2.18,1.33,0.55,1.33,0.3,1.03,1.94,53.1,0.91,1.45,0.55,0.91,1.03,3.21,1.39,0.0,48.4,3.27,14.5,25.0,9.52,0.48,48.4,0.97,0.36,37.5,0.48,50.0,21.7,114.4,44.9,0.55,0.91,0.06,0.79,0.85,26.3,0.48,0.12,0.0,0.0,0.73,0.48,0.0,2.18,1.33,0.0,0.0,0.0,6.85,0.42,0.48,46.7
2585,Aaron Wan-Bissaka,ENG,1,Manchester Utd,Premier League,25,1997,8,7,609,6.8,0,0.15,0.0,0.0,0.0,0.0,25.9,0.0,0.0,0.0,39.7,48.4,82.1,546.8,193.2,27.2,29.3,93.0,9.71,12.9,75.0,1.76,2.65,66.7,0.0,0.88,3.24,0.44,0.29,2.94,48.4,40.9,7.35,0.44,0.0,0.29,1.32,6.91,0.0,0.0,0.0,0.0,39.7,0.15,1.18,1.76,1.76,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,2.65,1.91,1.91,0.74,0.0,1.47,1.62,90.9,0.15,1.03,0.15,0.88,1.91,4.56,2.65,0.0,59.4,3.97,18.7,24.3,16.8,1.91,59.4,1.62,0.74,45.5,0.88,54.5,29.7,154.4,82.8,2.35,1.47,0.29,1.18,0.74,32.9,3.38,0.0,0.0,0.0,0.59,0.15,0.0,1.32,1.91,0.0,0.0,0.0,5.15,0.74,1.03,41.7
1487,Sebastiano Luperto,ITA,1,Empoli,Serie A,26,1996,20,20,1714,19.0,1,0.32,0.16,50.0,0.17,0.33,14.0,0.0,0.0,0.0,42.3,48.6,87.0,806.9,282.3,14.1,14.9,94.7,23.3,25.2,92.5,4.16,7.42,56.0,0.0,0.16,1.84,0.11,0.05,2.42,48.6,42.5,6.05,2.47,0.05,0.16,0.05,0.05,0.0,0.0,0.0,0.0,42.3,0.05,0.21,0.58,0.47,0.05,0.0,0.05,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,1.0,0.47,0.63,0.32,0.05,0.37,0.42,87.5,0.05,1.42,1.0,0.42,1.05,2.05,4.58,0.0,58.3,11.9,34.0,23.3,1.32,0.42,58.3,0.11,0.11,100.0,0.0,0.0,31.6,147.9,81.7,0.37,0.21,0.05,0.21,0.11,32.7,0.16,0.16,0.11,0.05,0.58,0.74,0.0,0.05,0.47,0.0,0.0,0.0,5.26,1.58,1.68,48.4
2427,Luke Thomas,ENG,1,Leicester City,Premier League,21,2001,10,8,691,7.7,0,0.26,0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,47.1,59.2,79.6,733.8,311.0,26.1,29.5,88.5,18.2,22.1,82.4,2.6,4.68,55.6,0.0,0.39,3.38,0.39,0.13,4.55,59.2,46.0,13.0,1.82,0.39,0.13,0.78,11.2,0.0,0.0,0.0,0.0,47.1,0.26,2.34,1.69,1.17,0.26,0.0,0.13,0.0,0.13,0.26,0.13,0.0,0.0,0.13,0.0,0.0,1.56,1.43,0.78,0.65,0.13,1.17,2.47,47.4,1.3,1.56,0.26,1.3,2.73,4.29,2.73,0.0,70.4,3.12,28.1,33.8,9.09,0.39,70.4,1.04,0.52,50.0,0.39,37.5,30.0,121.4,52.6,0.65,0.52,0.13,0.65,0.65,36.6,0.91,0.13,0.0,0.0,0.78,0.91,0.0,0.78,1.43,0.0,0.0,0.13,5.84,1.04,1.04,50.0
2230,Nico Schlotterbeck,GER,1,Dortmund,Bundesliga,23,1999,20,20,1734,19.3,3,0.67,0.21,30.8,0.23,0.75,18.7,0.0,0.0,0.0,64.6,75.6,85.5,1297.3,453.7,23.1,25.1,92.0,32.1,34.8,92.3,8.81,13.8,63.9,0.21,0.57,5.75,0.47,0.0,6.63,75.6,73.1,2.38,2.02,0.1,2.02,0.52,0.36,0.0,0.0,0.0,0.0,64.6,0.1,1.09,1.24,1.09,0.0,0.0,0.05,0.0,0.1,0.31,0.21,0.0,0.0,0.0,0.0,0.1,2.38,1.4,1.45,0.88,0.05,1.4,2.02,69.2,0.62,1.4,0.73,0.67,1.14,3.52,2.95,0.05,86.2,8.45,38.5,44.1,4.35,0.98,86.2,0.57,0.36,63.6,0.1,18.2,54.0,263.8,162.0,1.5,1.5,0.05,0.62,0.31,59.2,0.36,0.16,0.0,0.0,0.62,0.52,0.05,0.52,1.4,0.0,0.0,0.0,7.67,2.49,1.5,62.3
1462,Pau López,ESP,0,Marseille,Ligue 1,28,1994,19,19,1710,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,34.6,80.5,737.8,464.1,4.68,4.79,97.8,14.4,14.6,98.6,8.63,14.9,57.7,0.05,0.05,0.42,0.0,0.0,0.05,34.6,26.7,7.84,2.32,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,27.8,0.05,0.11,0.11,0.05,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.21,0.05,36.7,24.9,35.7,1.0,0.0,0.0,36.7,0.0,0.0,0.0,0.0,0.0,26.9,128.9,72.7,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.16,0.0,0.0,0.05,0.21,0.0,0.0,0.0,0.0,0.05,0.0,1.47,0.16,0.05,75.0
2017,Niklas Pyyhtiä,FIN,2,Bologna,Serie A,19,2003,3,0,37,0.4,0,5.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,35.0,50.0,70.0,550.0,15.0,20.0,27.5,72.7,12.5,15.0,83.3,2.5,5.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,60.0,0.0,17.5,27.5,15.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,40.0,152.5,62.5,2.5,0.0,0.0,0.0,2.5,50.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,7.5,0.0
